6121-Centrize
(x,y,z,r)
(8.13157, -3.25187, -7.91234, 11.80263)
(1.96472, 7.00122, 9.32834, 11.82773)
(-8.07088, 8.65415, 0.06366, 11.83375)
(9.04461, -6.09095, -4.61286, 11.83989)
(3.24666, -11.38434, 0.33198, 11.84290)
(8.13157, 3.58352, -7.91234, 11.89828)
(9.04461, 7.70478, 0.66552, 11.90007)
(5.42265, -10.45801, 1.70427, 11.90292)
(-1.92624, 7.14339, -9.33289, 11.90971)
(-8.07088, -7.04032, -5.21483, 11.91216)
(-8.09296, 3.72570, 7.90787, 11.91265)
(2.87789, 11.12248, -3.20766, 11.92815)
(6.43855, -4.09030, 9.18241, 11.93743)
(-1.92624, 0.30800, 11.78105, 11.94146)
(-9.08679, 2.28644, -7.41438, 11.94866)
(1.96472, 0.16583, -11.78560, 11.94939)
(4.24049, -9.94508, 5.09726, 11.95276)
(-8.07088, -7.04032, 5.34214, 11.96845)
(-5.89489, -7.96665, 6.71454, 11.97089)
(-9.08679, -7.50799, -2.13600, 11.97924)
(11.61145, -2.11186, -2.26677, 12.01765)
(-3.28884, 7.57983, 8.75472, 12.03808)
(-11.69285, -2.67325, 1.10241, 12.04509)
(-4.20188, -10.08726, -5.10173, 12.05970)
(-0.72200, 10.56109, 5.82233, 12.08128)
(-10.77980, -5.38738, -0.87670, 12.08291)
(-0.72200, 4.72353, 11.10081, 12.08557)
(-6.91080, -1.59894, 9.79336, 12.09238)
(4.24049, -9.94508, -5.45971, 12.11176)
(4.24049, 4.72353, 10.37575, 12.16345)
(-4.20188, 4.86570, -10.38022, 12.20982)
(-4.20188, -10.08726, 5.45524, 12.21344)
(6.43855, -7.96665, -6.65305, 12.21415)
(-5.52612, 0.86939, -10.85987, 12.21600)
(5.42265, -8.43432, 6.98276, 12.21891)
(3.24666, -4.54895, 10.88895, 12.23940)
(1.55364, 0.16583, 12.14815, 12.24821)
(-10.36873, -5.38738, -3.69650, 12.25555)
(2.87789, -9.38369, 7.34931, 12.26166)
